id2,body,Is_English,like_count
282,@duolingo Ill be a nerd bird before ya know it.,1,3
283,@duolingo @GenshinImpact ai slopolingo no one gaf,1,22
284,@duolingo I do not care about sculptures. I want to learn German. I paid for it and I was cheated....,1,6
285,@duolingo Got the code and uninstalled the app thank you thank you,1,6
286,"@duolingo No one gives a fuck about this. Fix the mess you did in the app, you idiots!",1,4
287,"@duolingo Joined the campaign, have a 3 day streak but the Genshin quest keeps reseting every day for me regardless of my streak.",1,2
288,"@duolingo Most regions my ass. Looks like eastern Europe is a bum fuck nowhere for you. And sentence starts with a capital letter, you should know that",1,2
289,@duolingo I'm just curious as to what exactly this does I get what I'm getting but is it for like another app or another game?,1,1
290,@duolingo @GenshinImpact Duolingo do u love Her Majesty Tsaritsa aka The Cryo Archon 😔🤚⁉️,1,1
291,@duolingo You better focus on that @Fortnite collab,1,1
292,@duolingo Wow,1,0
293,@duolingo @GenshinImpact I can’t access it birdy cause my phone has 128 gb storage and genshin is 55gb (i don’t have space),1,0
294,@duolingo Can you give a discount for super for the hollydays ? I like your app but yearly subscription shouldn't be that much.,1,0
295,@duolingo does anyone know how to deal with this...? https://t.co/ZqWRatT5Cc,1,0
296,@duolingo Oh it's all fine but why doesn't China meet the chance!!,1,0
297,"@duolingo Why is cancelling a Duolingo subscription like hotel California? 

There is no ""cancel subscription"" button where they say it is.",1,0
299,@duolingo @GenshinImpact yall keep telling me im losing my streak on the quest and now its not even there. i submitted a report and idk why i havent heard back. i just want my rewards. i’m on day 4 of my streak. https://t.co/gQQsSdd4UC,1,0
302,"@duolingo So, how much primos?",1,0
303,@duolingo https://t.co/CDgOJOpoVN,1,0
304,@duolingo Is the code only available once? I forgot to claim it.,1,0
305,"@duolingo Yes, I understand, we understand, let's see now.",1,2
306,@duolingo @GenshinImpact It looks amazing! Now let's see what's inside. I hope we have a lot of fun.,1,2
307,@duolingo @GenshinImpact I did it all 3 days; I was supposed to get the reward today. But because of some glitch the code never showed up. I contacted customer support well over 12 hours ago and I still haven’t heard anything back!,1,1
308,@duolingo 能不能把非自愿扣款退一下啊我真的无语死了，消费者维权困难死了，我一个工作都没有的人莫名其妙给付了会员费用。多领国就是不给退，客服还挂电话，问就是和我们没关系都是苹果的事情,1,0
310,"@duolingo If you have a Huawei (no Google Services), the Duolingo AppGallery app does NOT have the genshin quest, but i can do the quest with GBox and the Google Play Store Duolingo app; idk if there is another way, but at least this works for me",1,0
311,@duolingo not available on anything but newer mobile devices too.,1,0
313,"@duolingo @GenshinImpact Hey, why don't you fix practice hub listening and speaking.. For 24+ hours now, it's been this @duolingo https://t.co/NeXxz0LkqL",1,5
